Date,Category,Payment_Mode,Description,Amount,Cashback
2024-10-18,Transportation,wallet,Taxi fare to the office,260.7,12.3
2024-10-09,Transportation,Debit card,Taxi fare to the office,403.34,13.74
2024-10-11,Transportation,Cash,Bus fare for commuting,48.31,8.42
2024-10-24,Bills,Cash,Gas bill payment,344.58,14.0
2024-10-30,Stationary,Credit card,Bought stationery for the office,56.12,11.98
2024-10-30,Bills,Debit card,Settled the water bill,149.95,12.86
2024-10-08,Investment,Cash,Invested in mutual funds,271.11,10.54
2024-10-15,Investment,Cash,Bought new shares in a company,102.05,5.26
2024-10-30,Groceries,Debit card,Bought snacks and drinks,448.41,7.91
2024-11-11,Subscription,UPI,Streaming services subscription,441.2,19.92
2024-11-21,Transportation,wallet,Uber ride for the week,157.13,17.42
2024-11-20,Transportation,Credit card,Uber ride for the week,209.66,19.25
2024-11-10,Groceries,wallet,Supermarket shopping for household items,167.28,12.55
2024-11-12,Transportation,UPI,Fuel refill for the car,240.67,19.16
2024-11-17,Subscription,UPI,Paid for online entertainment subscription,327.57,5.95
2024-11-02,Subscription,Cash,Streaming services subscription,458.57,10.84
2024-11-06,Investment,Debit card,Bought new shares in a company,421.97,6.97
2024-11-21,Transportation,Cash,Taxi fare to the office,217.11,5.74
2024-11-29,Transportation,UPI,Bus fare for commuting,90.43,10.62
2024-11-08,Transportation,Credit card,Uber ride for the week,162.73,7.71
2024-11-10,Subscription,wallet,Prime membership renewal,118.32,11.28
2024-11-15,Transportation,Credit card,Taxi fare to the office,494.79,6.45
2024-11-13,Bills,wallet,Monthly water bill payment,447.77,7.55
2024-11-01,Groceries,Debit card,Supermarket shopping for household items,255.31,19.83
2024-11-01,Stationary,Cash,"Purchased pens notebooks, and other office supplies",306.68,7.97
2024-11-21,Subscription,Cash,Paid for Netflix subscription,232.98,9.64
2024-11-26,Groceries,Debit card,Supermarket shopping for essentials,206.35,8.11
2024-11-17,Groceries,Cash,Bought snacks and drinks,108.71,10.66
2024-11-16,Investment,Credit card,Invested in cryptocurrency,32.87,17.07
2024-11-21,Bills,Debit card,Water bill for the month,358.4,8.99
2024-11-24,Stationary,Cash,School supplies shopping,104.7,16.7
2024-11-21,Groceries,Cash,Supermarket shopping for household items,364.34,7.17
2024-11-25,Stationary,Cash,School supplies shopping,195.99,14.88
2024-11-08,Stationary,Credit card,School supplies shopping,47.12,9.27
2024-11-16,Transportation,wallet,Bus fare for commuting,350.48,14.94
2024-11-20,Groceries,wallet,Supermarket shopping for household items,47.34,12.64
2024-11-26,Bills,Debit card,Paid the electricity bill for the month,211.51,8.0
2024-11-25,Investment,UPI,Bought new shares in a company,372.27,18.6
2024-11-20,Bills,Debit card,Monthly water bill payment,155.85,17.03
2024-11-11,Groceries,wallet,Weekly grocery run,218.7,11.22
2024-11-13,Groceries,Cash,Grocery shopping for fruits and vegetables,404.25,17.13
2024-11-21,Subscription,Cash,Monthly Hotstar subscription,72.41,5.14
2024-11-24,Bills,UPI,Water bill for the month,421.95,16.54
2024-11-08,Groceries,Cash,Supermarket shopping for essentials,47.54,19.82
2024-11-09,Stationary,UPI,School supplies shopping,481.44,18.94
2024-11-14,Bills,UPI,Gas bill payment,481.22,8.19
2024-11-25,Transportation,wallet,Bus fare for commuting,407.24,6.72
2024-11-19,Subscription,UPI,Paid for Netflix subscription,42.14,8.0
2024-11-13,Subscription,Cash,Paid for online entertainment subscription,343.88,7.98
2024-11-09,Investment,Credit card,Investment in stocks,261.08,20.0
2024-11-23,Subscription,wallet,Paid for Netflix subscription,306.45,18.04
2024-11-12,Stationary,Debit card,School supplies shopping,269.95,7.29
2024-11-22,Transportation,Debit card,Fuel refill for the car,461.56,19.01
2024-11-27,Subscription,Cash,Monthly Hotstar subscription,460.84,13.7
2024-11-08,Groceries,wallet,Grocery shopping for fruits and vegetables,357.53,18.29
2024-11-14,Groceries,UPI,Supermarket shopping for essentials,226.29,19.82
2024-11-02,Transportation,UPI,Fuel refill for the car,447.38,14.81
2024-11-09,Transportation,wallet,Taxi fare to the office,355.35,15.64
2024-11-29,Subscription,wallet,Streaming services subscription,271.59,10.77
2024-11-06,Groceries,UPI,Supermarket shopping for household items,92.32,8.91
2024-11-01,Bills,Cash,Paid the water utility bill,115.74,9.32
2024-11-05,Transportation,wallet,Fuel refill for the car,388.24,8.94
2024-11-03,Groceries,Cash,Supermarket shopping for essentials,430.69,19.22
2024-11-03,Transportation,Cash,Fuel refill for the car,460.66,12.97
2024-11-16,Stationary,Debit card,Bought a new set of markers and notepads,254.53,5.95
2024-11-07,Subscription,wallet,Paid for online entertainment subscription,255.21,7.11
2024-11-12,Investment,Debit card,Invested in mutual funds,458.82,18.78
2024-11-22,Transportation,Cash,Uber ride for the week,284.48,17.12
2024-11-22,Subscription,Cash,Paid for Netflix subscription,287.11,18.83
2024-11-28,Groceries,Cash,Grocery shopping for fruits and vegetables,61.51,15.74
2024-11-14,Subscription,Cash,Prime membership renewal,84.35,11.02
2024-11-12,Bills,Debit card,Payment for water usage,363.47,16.51
2024-11-01,Stationary,UPI,Bought stationery for the office,338.51,5.69
2024-11-01,Subscription,Debit card,Monthly Hotstar subscription,381.0,6.93
2024-11-28,Transportation,wallet,Uber ride for the week,360.86,18.5
2024-11-28,Transportation,wallet,Fuel refill for the car,137.24,12.64
2024-11-03,Investment,Credit card,Bought new shares in a company,236.05,10.07
2024-11-23,Investment,Credit card,Invested in cryptocurrency,313.79,9.41
2024-11-29,Transportation,wallet,Bus fare for commuting,179.68,7.6
2024-11-21,Bills,Debit card,Electricity bill for the current month,94.74,7.67
2024-11-11,Transportation,Credit card,Fuel refill for the car,388.43,15.03
2024-11-10,Stationary,wallet,"Purchased pens notebooks, and other office supplies",411.57,11.75
2024-11-17,Transportation,wallet,Uber ride for the week,67.17,9.82
2024-11-02,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",177.67,13.25
2024-11-11,Investment,Debit card,Invested in cryptocurrency,158.57,12.07
2024-11-13,Groceries,Debit card,Supermarket shopping for household items,100.32,5.93
2024-11-25,Investment,Cash,Invested in cryptocurrency,320.14,14.72
2024-11-03,Stationary,Cash,School supplies shopping,276.5,15.36
2024-11-01,Bills,Credit card,Water bill for the month,36.4,10.48
2024-11-12,Bills,UPI,Monthly water bill payment,222.56,8.24
2024-11-09,Transportation,UPI,Fuel refill for the car,405.78,16.82
2024-11-23,Investment,Cash,Invested in mutual funds,475.47,8.22
2024-11-15,Groceries,Credit card,Supermarket shopping for essentials,266.31,12.21
2024-11-14,Subscription,Cash,Paid for online entertainment subscription,478.93,8.13
2024-11-29,Stationary,Cash,Bought a new set of markers and notepads,247.98,10.6
2024-11-23,Transportation,Credit card,Bus fare for commuting,313.15,12.5
2024-11-02,Bills,Cash,WiFi charges for the month,43.77,5.43
2024-11-02,Subscription,wallet,Monthly Hotstar subscription,214.37,8.49
2024-11-18,Bills,Credit card,Settled electricity charges,495.98,11.74
2024-11-18,Bills,Debit card,Payment for high-speed internet,92.57,15.28
2024-11-26,Subscription,wallet,Streaming services subscription,218.49,16.67
2024-11-24,Bills,wallet,Water bill for the month,441.21,5.8
2024-11-27,Subscription,Credit card,Streaming services subscription,411.32,8.2
2024-11-25,Transportation,Credit card,Paid for public transport pass,445.2,10.99
2024-11-25,Subscription,wallet,Prime membership renewal,192.13,7.53
2024-11-23,Transportation,UPI,Bus fare for commuting,170.71,19.76
2024-11-13,Stationary,wallet,School supplies shopping,195.65,7.97
2024-11-03,Subscription,Debit card,Streaming services subscription,417.04,12.67
2024-11-04,Stationary,Debit card,School supplies shopping,267.88,7.01
2024-11-23,Stationary,Cash,School supplies shopping,402.73,17.75
2024-11-24,Transportation,Debit card,Taxi fare to the office,259.49,10.72
2024-11-22,Subscription,wallet,Prime membership renewal,160.68,9.81
2024-11-21,Bills,Cash,Electricity usage payment,68.05,5.34
2024-11-13,Stationary,wallet,Bought stationery for the office,108.58,5.25
2024-11-23,Stationary,UPI,Bought stationery for the office,48.32,9.63
2024-11-29,Bills,Credit card,Settled the water bill,351.46,10.23
2024-11-23,Groceries,wallet,Supermarket shopping for household items,103.0,5.47
2024-11-10,Groceries,UPI,Bought snacks and drinks,490.17,17.89
2024-11-03,Subscription,Debit card,Paid for Netflix subscription,185.42,17.93
2024-11-04,Investment,wallet,Bought new shares in a company,417.12,16.36
2024-11-18,Transportation,Debit card,Fuel refill for the car,327.37,14.25
2024-11-26,Transportation,Credit card,Bus fare for commuting,145.82,15.32
2024-11-15,Groceries,Credit card,Supermarket shopping for essentials,460.89,6.74
2024-11-23,Stationary,UPI,Bought stationery for the office,199.47,8.24
2024-11-04,Investment,wallet,Monthly contribution to retirement fund,185.1,13.08
2024-11-14,Bills,Credit card,Settled the monthly gas charges,165.73,15.51
2024-11-02,Investment,UPI,Invested in cryptocurrency,59.22,14.7
2024-11-12,Subscription,Debit card,Streaming services subscription,191.73,13.62
2024-11-10,Subscription,Cash,Prime membership renewal,55.95,6.49
2024-12-04,Groceries,Debit card,Weekly grocery run,466.9,13.8
2024-12-17,Subscription,Debit card,Paid for Netflix subscription,251.22,19.41
2024-12-30,Stationary,UPI,Bought a new set of markers and notepads,309.44,6.36
2024-12-14,Investment,Debit card,Invested in cryptocurrency,45.75,17.76
2024-12-02,Investment,wallet,Invested in mutual funds,252.1,8.25
2024-12-22,Investment,Cash,Invested in cryptocurrency,398.7,12.14
2024-12-11,Investment,UPI,Investment in stocks,416.24,10.68
2024-12-13,Transportation,Credit card,Paid for public transport pass,361.45,12.96
2024-12-04,Stationary,Cash,"Purchased pens notebooks, and other office supplies",479.48,15.27
2024-12-13,Groceries,Debit card,Grocery shopping for fruits and vegetables,370.12,9.07
2024-12-26,Stationary,Credit card,Bought stationery for the office,280.63,16.12
2024-12-05,Bills,Credit card,Paid the water utility bill,244.03,19.7
2024-12-03,Subscription,UPI,Prime membership renewal,495.93,14.68
2024-12-04,Subscription,UPI,Streaming services subscription,480.62,7.27
2024-12-01,Groceries,Debit card,Bought snacks and drinks,187.6,18.91
2024-12-28,Bills,wallet,Paid the electricity bill for the month,446.9,7.07
2024-12-09,Bills,Debit card,Payment for water usage,438.26,9.38
2024-12-15,Groceries,wallet,Grocery shopping for fruits and vegetables,212.33,13.32
2024-12-22,Bills,wallet,Settled electricity charges,396.48,10.2
2024-12-01,Subscription,UPI,Prime membership renewal,29.47,5.38
2024-12-21,Stationary,Credit card,Bought stationery for the office,415.55,18.11
2024-12-18,Transportation,UPI,Fuel refill for the car,444.81,11.07
2024-12-30,Stationary,Debit card,Office supplies for the new quarter,466.63,12.63
2024-12-19,Transportation,Debit card,Bus fare for commuting,193.12,9.35
2024-12-17,Stationary,UPI,Office supplies for the new quarter,370.62,8.61
2024-12-26,Investment,Cash,Monthly contribution to retirement fund,104.18,6.26
2024-12-14,Groceries,Cash,Supermarket shopping for household items,49.61,14.78
2024-12-25,Investment,UPI,Invested in mutual funds,344.93,19.13
2024-12-07,Stationary,UPI,"Purchased pens notebooks, and other office supplies",211.6,8.82
2024-12-24,Groceries,Credit card,Supermarket shopping for essentials,430.67,16.89
2024-12-15,Subscription,Credit card,Paid for Netflix subscription,370.01,5.78
2024-12-23,Bills,wallet,Payment for high-speed internet,65.56,13.18
2024-12-13,Transportation,Debit card,Paid for public transport pass,358.61,6.02
2024-12-29,Investment,UPI,Invested in cryptocurrency,51.49,12.44
2024-12-09,Subscription,UPI,Monthly Hotstar subscription,93.74,11.37
2024-12-12,Transportation,Credit card,Taxi fare to the office,121.64,5.87
2024-12-28,Transportation,wallet,Paid for public transport pass,102.09,17.84
2024-12-26,Investment,Debit card,Invested in cryptocurrency,177.25,8.28
2024-12-25,Bills,Debit card,Monthly broadband charges,190.99,17.41
2024-12-06,Groceries,wallet,Supermarket shopping for essentials,321.54,9.58
2024-12-11,Subscription,wallet,Prime membership renewal,194.36,7.21
2024-12-27,Bills,wallet,Electricity usage payment,65.34,19.51
2024-12-24,Transportation,Credit card,Paid for public transport pass,44.51,7.91
2024-12-29,Transportation,UPI,Fuel refill for the car,325.74,12.16
2024-12-04,Bills,UPI,Payment for high-speed internet,394.81,18.08
2024-12-25,Groceries,Debit card,Grocery shopping for fruits and vegetables,36.74,12.03
2024-12-30,Bills,Cash,Monthly broadband charges,449.82,6.48
2024-12-23,Subscription,Credit card,Paid for online entertainment subscription,334.37,15.34
2024-12-13,Stationary,UPI,Office supplies for the new quarter,323.06,14.76
2024-12-11,Bills,UPI,Payment for high-speed internet,269.8,9.85
2024-12-27,Transportation,wallet,Paid for public transport pass,77.57,12.53
2024-12-27,Subscription,wallet,Paid for Netflix subscription,133.72,14.48
2024-12-23,Transportation,wallet,Paid for public transport pass,255.86,19.68
2024-12-01,Bills,wallet,Paid the gas bill for this month,163.58,17.08
2024-12-13,Bills,Credit card,Gas bill payment,44.62,6.9
2024-12-24,Groceries,Debit card,Bought snacks and drinks,355.58,8.79
2024-12-14,Investment,wallet,Monthly contribution to retirement fund,147.2,7.88
2024-12-30,Groceries,Debit card,Weekly grocery run,409.7,14.96
2024-12-30,Stationary,Cash,School supplies shopping,473.92,6.43
2024-12-16,Stationary,Debit card,Bought stationery for the office,50.81,11.84
2024-12-08,Bills,Credit card,Electricity usage payment,365.62,16.96
2024-12-03,Transportation,Debit card,Fuel refill for the car,194.69,9.1
2024-12-21,Investment,Debit card,Bought new shares in a company,397.33,5.6
2024-12-24,Bills,UPI,Monthly broadband charges,229.04,13.08
2024-12-10,Bills,Credit card,Settled internet bill,64.89,5.79
2024-12-30,Investment,Debit card,Invested in cryptocurrency,343.04,13.41
2024-12-07,Stationary,Cash,"Purchased pens notebooks, and other office supplies",301.41,16.13
2024-12-21,Stationary,Cash,"Purchased pens notebooks, and other office supplies",78.98,13.97
2024-12-13,Stationary,wallet,School supplies shopping,171.75,19.06
2024-12-27,Transportation,UPI,Uber ride for the week,264.09,13.21
2024-12-14,Bills,Debit card,Paid for monthly WiFi subscription,143.75,13.27
2024-12-06,Stationary,Cash,Office supplies for the new quarter,357.89,18.25
2024-12-20,Bills,Credit card,Payment for water usage,121.6,5.74
2024-12-05,Stationary,wallet,School supplies shopping,50.92,6.04
2024-12-20,Investment,Cash,Invested in cryptocurrency,282.8,19.29
2024-12-08,Subscription,wallet,Monthly Hotstar subscription,115.82,18.08
2024-12-28,Stationary,Cash,School supplies shopping,21.35,15.14
2024-12-24,Investment,Debit card,Invested in cryptocurrency,128.33,11.08
2024-12-16,Bills,Cash,Settled the monthly gas charges,453.3,16.22
2024-12-30,Investment,Credit card,Invested in mutual funds,271.58,6.85
2024-12-23,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",324.33,15.94
2024-12-03,Subscription,Debit card,Monthly Hotstar subscription,70.22,16.3
2024-12-22,Transportation,Credit card,Bus fare for commuting,234.66,11.08
2024-12-24,Groceries,UPI,Weekly grocery run,100.22,7.05
2024-12-13,Investment,Cash,Invested in cryptocurrency,232.41,6.79
2024-12-12,Investment,UPI,Invested in cryptocurrency,327.46,17.17
2024-12-17,Transportation,wallet,Fuel refill for the car,79.43,13.9
2024-12-22,Stationary,Debit card,Bought stationery for the office,338.32,10.09
2024-12-15,Transportation,wallet,Fuel refill for the car,69.01,5.64
2024-12-25,Groceries,Credit card,Supermarket shopping for household items,193.27,14.08
2024-12-29,Stationary,Cash,Bought stationery for the office,428.31,16.4
2024-12-14,Transportation,Cash,Paid for public transport pass,283.97,12.78
2024-12-16,Transportation,Credit card,Paid for public transport pass,204.83,10.21
2024-12-13,Subscription,wallet,Paid for online entertainment subscription,175.11,10.64
2024-12-06,Transportation,wallet,Fuel refill for the car,175.06,11.27
2024-12-22,Stationary,UPI,Bought stationery for the office,299.52,10.73
2024-12-03,Groceries,wallet,Grocery shopping for fruits and vegetables,157.93,17.55
2024-12-09,Bills,Credit card,WiFi charges for the month,77.77,19.08
2024-12-20,Bills,UPI,WiFi charges for the month,348.09,11.32
2024-12-29,Transportation,UPI,Bus fare for commuting,461.83,6.81
2024-12-23,Bills,Debit card,Monthly broadband charges,428.75,13.88
2024-12-16,Transportation,Debit card,Taxi fare to the office,64.15,15.94
2024-12-11,Transportation,Debit card,Uber ride for the week,416.02,7.25
2024-12-24,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",491.05,7.78
2024-12-06,Investment,UPI,Invested in cryptocurrency,105.11,16.68
2024-12-02,Investment,UPI,Invested in mutual funds,153.38,16.88
2024-12-07,Stationary,wallet,Bought a new set of markers and notepads,233.11,8.17
2024-12-25,Groceries,Debit card,Supermarket shopping for household items,180.39,6.31
2024-12-17,Subscription,Credit card,Monthly Hotstar subscription,214.01,19.24
2024-12-02,Transportation,wallet,Bus fare for commuting,79.33,13.43
2024-12-18,Stationary,wallet,Office supplies for the new quarter,61.94,18.54
2024-12-24,Transportation,Cash,Taxi fare to the office,420.51,6.24
2024-12-10,Bills,Debit card,Gas utility charges for the month,45.73,19.99
2024-12-11,Stationary,Debit card,Office supplies for the new quarter,364.26,9.93
2024-12-02,Groceries,Credit card,Weekly grocery run,470.94,7.12
2024-12-12,Transportation,Debit card,Uber ride for the week,372.63,7.96
2024-12-17,Transportation,wallet,Fuel refill for the car,409.7,8.8
2024-12-17,Subscription,wallet,Streaming services subscription,353.42,12.08
2024-12-19,Bills,Debit card,Paid the electricity bill for the month,275.34,7.48
2024-12-09,Bills,wallet,Paid the water utility bill,429.59,11.28
